Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1541175960,6359.94,6360,6355.87,6358.33,2.22993528,14177.358501,6357.7443831
1541176020,6358.24,6358.24,6355.87,6355.92,0.72166582,4587.1581542,6356.346701
1541176080,6355.92,6356.86,6355.91,6356.75,3.93521492,25012.353748,6356.0324548
1541176140,6356.76,6356.76,6355.87,6355.88,1.4098426,8961.4258609,6356.3307428
1541176200,6355.89,6356.74,6355.87,6356.73,3.26513133,20755.38132,6356.6758034
1541176260,6356.73,6356.73,6355.01,6355.82,4.44059068,28224.168134,6355.9490545
1541176320,6356.38,6356.63,6355.19,6356.09,3.15460762,20050.337618,6355.8895537
1541176380,6356.15,6356.15,6355,6355.98,3.88683666,24702.705112,6355.4780591
1541176440,6356,6356.05,6355,6355.68,2.78159038,17677.655348,6355.2331338
1541176500,6355.66,6356.15,6355.01,6355.97,2.3812932,15135.137186,6355.8478168
1541176560,6355.96,6356.17,6355.96,6356.16,2.75369259,17502.778569,6356.1120194
1541176620,6356.16,6356.16,6356.15,6356.15,2.4938497,15851.299206,6356.1565903
1541176680,6356.15,6356.15,6355.83,6355.84,4.43588387,28193.998366,6355.8919017
1541176740,6355.84,6355.84,6352.69,6352.7,0.73738589,4684.8833153,6353.3671838
1541176800,6352.7,6352.7,6352.69,6352.69,1.6715179,10618.640813,6352.6934486
1541176860,6352.7,6353.55,6352.69,6353.54,1.72233019,10941.812929,6352.9124629
1541176920,6353.18,6353.91,6351.6,6353.91,2.57635865,16367.841605,6353.0912533
1541176980,6353.8,6353.81,6353.5,6353.51,2.35363085,14954.054194,6353.6107178
1541177040,6353.51,6353.8,6353.5,6353.51,1.18788726,7547.2573266,6353.5131496
1541177100,6353.51,6353.51,6353.5,6353.51,4.44387205,28234.168095,6353.5060814
1541177160,6353.51,6353.51,6351.53,6352.53,5.09610538,32372.646244,6352.4287333
1541177220,6351.53,6352.44,6351.53,6352.07,1.83757006,11671.575792,6351.6358077
1541177280,6352.07,6352.07,6351.63,6351.64,2.46876626,15681.572866,6351.987679
1541177340,6351.64,6352.03,6351.53,6351.74,0.67335439,4276.9234413,6351.6678659
1541177400,6351.54,6351.67,6351.53,6351.54,3.63344463,23077.961765,6351.5380349
1541177460,6351.54,6351.54,6350.83,6350.84,2.90905957,18475.858585,6351.1448085
1541177520,6350.84,6351.61,6350.84,6351.61,0.51762364,3287.5374947,6351.2120402
1541177580,6351.61,6351.62,6350.83,6351.32,1.85549425,11784.834829,6351.3184311
1541177640,6351.32,6352.07,6351.17,6351.19,0.79531815,5051.4616683,6351.4980367
1541177700,6351.2,6352.07,6351.19,6352.07,4.85281179,30824.600622,6351.9052367
1541177760,6352.07,6352.07,6352.06,6352.07,1.88749943,11989.526023,6352.0686856
1541177820,6352.07,6352.98,6352.06,6352.8,5.58323798,35465.152098,6352.076022
1541177880,6352.09,6352.09,6351.6,6351.68,1.85575103,11787.523832,6351.8886107
1541177940,6351.74,6351.79,6351.6,6351.75,0.93389367,5931.8506962,6351.7409816
1541178000,6351.75,6351.79,6351.74,6351.79,5.40388551,34324.144799,6351.7527777
1541178060,6351.79,6352,6351.78,6352,2.68272515,17040.645453,6351.9907931
1541178120,6352,6352,6351.99,6352,1.7097811,10860.519168,6351.9939294
1541178180,6352,6352,6351.99,6352,0.59833965,3800.6524272,6351.9982792
1541178240,6352,6352,6351.99,6352,1.75320961,11136.378409,6351.9948473
1541178300,6351.99,6353.52,6351.99,6353.52,3.638439,23111.808211,6352.1219432
1541178360,6353.52,6354.4,6353.51,6354.4,3.6902625,23448.374812,6354.1210991
1541178420,6354.4,6355,6354.39,6355,0.6862681,4361.0566805,6354.7419449
1541178480,6355,6355,6354.99,6355,0.28397745,1804.6755664,6354.9960266
1541178540,6355,6355,6354.99,6355,4.6735807,29700.56574,6354.991525
1541178600,6354.99,6355,6354.99,6355,3.26209114,20730.581555,6354.9976579
1541178660,6355,6355,6354.99,6355,2.53624847,16117.851677,6354.9971021
1541178720,6354.99,6355,6354.99,6355,5.01207917,31851.761368,6354.9996494
1541178780,6355,6355,6354.99,6355,1.5221511,9673.2664004,6354.9974772
1541178840,6355,6355,6354.99,6355,1.67560371,10648.456615,6354.9970384
1541178900,6355,6355,6354.99,6355,2.53233484,16092.967871,6354.9920873
1541178960,6355,6355,6354.99,6355,2.00292857,12728.604317,6354.9966322
1541179020,6355,6355.01,6354.99,6355.01,2.40871078,15307.352608,6354.9981737
1541179080,6355.01,6355.19,6355,6355.19,1.87200077,11896.583131,6355.0097424
1541179140,6355.19,6355.31,6353.97,6353.97,12.16332512,77297.936054,6355.0004042
1541179200,6353.98,6353.98,6353.97,6353.98,3.09871442,19689.143001,6353.9714645
1541179260,6353.98,6353.98,6353.51,6353.52,2.30789979,14663.417342,6353.5762712
1541179320,6353.51,6353.96,6353.51,6353.52,2.68474322,17057.644013,6353.5476635
1541179380,6353.52,6353.98,6353.51,6353.62,4.91551721,31231.261582,6353.6063953
1541179440,6353.62,6355,6353.61,6354.99,1.81082099,11506.936942,6354.541396
1541179500,6354.99,6355.85,6354.99,6355.84,1.70549603,10839.752304,6355.7769194
1541179560,6355.85,6356.7,6355.84,6356.7,2.72598471,17326.353733,6355.9981352
1541179620,6356.7,6356.7,6356.69,6356.7,0.71979429,4575.515551,6356.6988716
1541179680,6356.7,6358,6356.7,6358,4.74601669,30172.227774,6357.379197
1541179740,6357.99,6358,6357.99,6358,1.39820383,8889.7748971,6357.9963853
1541179800,6358,6358,6357.99,6358,0.66596418,4234.1968178,6357.9948366
1541179860,6358,6358.79,6357.99,6358.79,4.30536591,27374.804031,6358.2990628
1541179920,6358.79,6358.79,6357.55,6357.55,1.51207392,9614.2929778,6358.3485242
1541179980,6357.55,6357.56,6356.69,6357.05,4.17947676,26568.71371,6356.947349
1541180040,6357.06,6357.9,6355.85,6356.6,3.08484406,19610.841078,6357.1579946
1541180100,6356.55,6358,6356.55,6357.46,8.52388658,54188.960188,6357.3065736
1541180160,6356.07,6357.45,6355.36,6356.62,1.50019409,9535.5379769,6356.2028677
1541180220,6356.62,6356.62,6356.03,6356.03,6.83209515,43426.83729,6356.2986662
1541180280,6356.02,6356.03,6356.02,6356.03,2.86064789,18182.35445,6356.0267287
1541180340,6356.03,6356.03,6356.02,6356.03,0.8812333,5601.1442958,6356.0288698
1541180400,6356.02,6357.98,6356.02,6357.98,2.34368249,14898.48587,6356.8704096
1541180460,6357.98,6357.98,6357.97,6357.98,2.72022491,17295.133798,6357.9793473
1541180520,6357.98,6357.98,6357.97,6357.97,1.50907394,9594.6552091,6357.975547
1541180580,6357.54,6357.54,6356,6356.01,0.73644791,4681.043674,6356.2454458
1541180640,6356.01,6356.01,6355,6355.01,2.47966448,15758.484837,6355.0875386
1541180700,6355.01,6355.01,6353.56,6353.57,1.05082123,6677.8264591,6354.8644322
1541180760,6353.57,6353.57,6353.56,6353.57,2.1230302,13488.804547,6353.5622561
1541180820,6353.57,6353.96,6351.26,6351.27,7.17074384,45552.918399,6352.6071236
1541180880,6351.27,6351.99,6350,6351.99,3.4327203,21801.214347,6351.0022495
1541180940,6352,6353.97,6351.67,6352.48,2.16602076,13760.32686,6352.8139313
1541181000,6352.57,6354,6352.57,6353.12,1.9002124,12072.83248,6353.4121134
1541181060,6353.12,6353.42,6353.1,6353.11,1.80773999,11484.830411,6353.1428604
1541181120,6353.11,6353.11,6350,6350.51,3.09276572,19641.085097,6350.6540344
1541181180,6350.5,6350.51,6350.5,6350.51,5.63389023,35778.069594,6350.5088195
1541181240,6350.51,6350.51,6350.5,6350.51,6.2007755,39378.07603,6350.5082599
1541181300,6350.51,6350.51,6350.5,6350.51,1.55628399,9883.1945854,6350.5084219
1541181360,6350.51,6350.51,6350,6350.01,1.80685087,11473.837515,6350.1851234
1541181420,6350.01,6350.01,6350,6350.01,2.73052785,17338.854925,6350.0011271
1541181480,6350,6350.01,6348.72,6349.64,4.31957473,27427.490604,6349.5812247
1541181540,6348.81,6349.69,6348.81,6348.98,1.10827882,7036.7708318,6349.2784531
1541181600,6348.95,6348.96,6348.94,6348.96,2.76308056,17542.654829,6348.9480122
