Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1512075900,9539.31,9539.31,9518.69,9518.72,10.39257258,98966.568677,9522.8171769
1512075960,9518.72,9550,9518.71,9545.99,7.37583506,70296.124675,9530.5987869
1512076020,9545.99,9550,9545.98,9550,6.31580329,60303.929354,9548.1012605
1512076080,9550,9590,9550,9584.62,23.86428152,228569.79235,9577.9037871
1512076140,9583.83,9583.83,9555,9565.94,10.2672464,98198.271641,9564.22665
1512076200,9565.94,9615.49,9565.94,9615.49,52.27451581,501658.68195,9596.6203451
1512076260,9615.49,9663.41,9615.49,9620.01,36.0093261,347022.41581,9637.0150012
1512076320,9620,9629,9605,9625,7.94841267,76414.261876,9613.7763663
1512076380,9625,9639.02,9610.5,9610.51,10.32063839,99327.474278,9624.1599138
1512076440,9610.51,9610.51,9573,9579.41,13.06314819,125273.81554,9589.8640757
1512076500,9607.79,9607.79,9579.63,9582.82,3.69209565,35399.434224,9587.8973839
1512076560,9582.82,9582.82,9550,9551,12.64088731,120824.25517,9558.2099743
1512076620,9551,9571.09,9551,9571.08,7.23160804,69117.673566,9557.7184471
1512076680,9571.08,9592.56,9571.07,9571.26,14.23632993,136343.23003,9577.133341
1512076740,9571.26,9571.26,9571.07,9571.26,6.59395219,63111.51188,9571.1206363
1512076800,9571.26,9571.26,9571.25,9571.26,4.48969764,42972.035301,9571.253734
1512076860,9571.26,9623.47,9571.26,9614.23,19.04803664,182935.59495,9603.9081825
1512076920,9610.01,9615,9608.01,9611.58,10.85101453,104296.75353,9611.7052688
1512076980,9611.58,9611.58,9574.99,9599.95,19.84984163,190568.54679,9600.507165
1512077040,9599.94,9608.7,9581.41,9608.7,9.06643205,86971.899207,9592.7371129
1512077100,9608.7,9615,9604.93,9615,12.12749679,116562.77234,9611.4453263
1512077160,9615,9640.43,9615,9640.43,18.21311605,175306.14099,9625.2689822
1512077220,9640.01,9640.01,9620.02,9631.55,6.73432613,64901.217919,9637.3737574
1512077280,9629.72,9629.72,9600,9600.02,13.22001772,127152.50555,9618.179661
1512077340,9600.02,9640,9580,9637.99,13.10156453,125795.10746,9601.5332502
1512077400,9623.66,9639.98,9620,9620.01,8.27470632,79698.372885,9631.565134
1512077460,9620.01,9620.01,9600.01,9616.02,12.0926404,116308.17852,9618.0961865
1512077520,9616.02,9616.02,9600.01,9610.72,3.1644892,30411.063172,9610.1017416
1512077580,9605,9610.68,9588,9599.23,11.61966524,111541.93576,9599.410435
1512077640,9599.23,9599.23,9597,9597.01,2.10017529,20157.52288,9598.0192586
1512077700,9597,9597.01,9594,9594.01,5.21103546,50000.731075,9595.1623164
1512077760,9594.01,9594.01,9574.99,9594.01,23.13132575,221829.85485,9590.0190612
1512077820,9594.01,9594.01,9575,9593.98,6.74366733,64697.447174,9593.8076433
1512077880,9593.98,9605,9593.98,9605,12.01039109,115270.76338,9597.5861663
1512077940,9605,9619,9605,9619,8.73801573,84022.817184,9615.7777441
1512078000,9618.99,9619,9600,9605,18.32344336,176049.15881,9607.8643819
1512078060,9602,9605,9600.96,9605,6.00802938,57687.356184,9601.7100675
1512078120,9605,9619,9605,9619,5.98311617,57541.818441,9617.3660691
1512078180,9619,9655,9619,9655,22.46338217,216393.20131,9633.1531768
1512078240,9655,9660,9654.99,9659.99,14.68040814,141745.6301,9655.428429
1512078300,9660,9660,9659.99,9660,8.32935144,80461.464846,9659.9915882
1512078360,9660,9662,9659.99,9662,4.39603705,42465.840871,9660.0279725
1512078420,9662,9670,9661.58,9670,35.22341542,340479.66919,9666.2877557
1512078480,9670,9694,9661.45,9678,40.45229729,391283.09421,9672.703911
1512078540,9663.39,9678,9663.36,9678,4.70902075,45556.16629,9674.2334996
1512078600,9678,9694,9678,9694,9.19374238,89109.769274,9692.4370502
1512078660,9694,9771.65,9694,9771.65,75.72325663,736518.50672,9726.4504922
1512078720,9750.22,9795,9750.21,9755.41,60.36258131,590392.60484,9780.7713326
1512078780,9755.41,9760.71,9720,9720,16.18589792,157714.49608,9743.9448126
1512078840,9739.84,9739.93,9701,9702.01,25.11246855,244126.53227,9721.3275464
1512078900,9720,9722,9706.21,9722,13.53675728,131577.35636,9720.0055846
1512078960,9722,9730,9722,9729.99,8.09656439,78751.967127,9726.5906048
1512079020,9730,9731.13,9729.99,9731.13,9.36329383,91106.033662,9730.1265256
1512079080,9731.13,9750,9731.12,9739.02,9.14922506,89126.228017,9741.3963951
1512079140,9739.02,9739.02,9659.99,9659.99,41.27161875,400582.28255,9705.9988119
1512079200,9678.95,9698.32,9660.02,9682.43,9.92801426,96127.264816,9682.4261427
1512079260,9680.88,9714.99,9680.87,9709.93,23.86879484,231518.76536,9699.6420186
